blanck;state_name;state_id;country_id;country_name
blanck;North Carolina;73;9;United States
blanck;Kansas;60;9;United States
blanck;Rio de Janeiro;19;1;Brazil
blanck;Bahia;5;1;Brazil
blanck;Espírito Santo;8;1;Brazil
blanck;Virginia;80;9;United States
blanck;British Columbia;29;2;Canada
blanck;Rio Grande do Sul;21;1;Brazil
blanck;Mato Grosso;11;1;Brazil
blanck;Goiás;9;1;Brazil
blanck;Baden-Württemberg;33;4;Germany
blanck;Minas Gerais;13;1;Brazil
blanck;Oklahoma;75;9;United States
blanck;Arizona;51;9;United States
blanck;Ontario;31;2;Canada
blanck;Ohio;74;9;United States
blanck;Maranhão;10;1;Brazil
blanck;Piauí;18;1;Brazil
blanck;São Paulo;25;1;Brazil
blanck;Florida;54;9;United States
blanck;California;52;9;United States
blanck;Missouri;67;9;United States
blanck;Ceará;6;1;Brazil
blanck;Washington;81;9;United States
blanck;Pernambuco;17;1;Brazil
blanck;Paraná;16;1;Brazil
blanck;Santa Catarina;24;1;Brazil
blanck;Pará;14;1;Brazil
blanck;Texas;79;9;United States
blanck;Minnesota;66;9;United States
blanck;Acre;1;1;Brazil
blanck;Nevada;69;9;United States
blanck;Bavaria;34;4;Germany
blanck;Quebec;32;2;Canada
blanck;Rondônia;22;1;Brazil
blanck;Porto;46;6;Portugal
blanck;Oregon;76;9;United States
blanck;Pennsylvania;77;9;United States
blanck;Rio Grande do Norte;20;1;Brazil
blanck;Tocantins;27;1;Brazil
blanck;Nebraska;68;9;United States
blanck;Sergipe;26;1;Brazil
blanck;New Jersey;70;9;United States
blanck;New York;72;9;United States
blanck;Louisiana;62;9;United States
blanck;Tennessee;78;9;United States
blanck;North Rhine-Westphalia;37;4;Germany
blanck;Wisconsin;82;9;United States
blanck;England;41;8;United Kingdom
blanck;Amazonas;4;1;Brazil
blanck;Alagoas;2;1;Brazil
blanck;Amapá;3;1;Brazil
blanck;Kentucky;61;9;United States
blanck;Lisbon;45;6;Portugal
blanck;Hauts-de-France;39;3;France
blanck;Saxony;38;4;Germany
blanck;Indiana;59;9;United States
blanck;Hawaii;56;9;United States
blanck;Hamburg;36;4;Germany
blanck;Nova Scotia;30;2;Canada
blanck;Scotland;43;8;United Kingdom
blanck;Dublin;48;5;Ireland
blanck;Mato Grosso do Sul;12;1;Brazil
blanck;Michigan;65;9;United States
blanck;Colorado;53;9;United States
blanck;Paraíba;15;1;Brazil
blanck;Cork;47;5;Ireland
blanck;Illinois;58;9;United States
blanck;Alberta;28;2;Canada
blanck;Distrito Federal;7;1;Brazil
blanck;Braga;44;6;Portugal
blanck;Massachusetts;64;9;United States
blanck;Nouvelle-Aquitaine;40;3;France
blanck;Idaho;57;9;United States
blanck;Roraima;23;1;Brazil
blanck;Alabama;49;9;United States
blanck;Berlin;35;4;Germany
blanck;Northern Ireland;42;8;United Kingdom
blanck;Maryland;63;9;United States
blanck;Georgia;55;9;United States
blanck;Alaska;50;9;United States
blanck;New Mexico;71;9;United States
